Period,Date,Income,Outflows,Begin Total Savings,Amount To Save,End Total Savings,Savings Value Change,Savings Return,Begin Investment Portfolio,Investment Return,Amount To Invest,End Investment Portfolio,Portfolio Value Change,Investment Return Rate,Cumulative Returns,Drawdown,Begin Total Assets,End Total Assets,Total Assets Value Change,Total Assets Return Rate
154,09/24/2036,2340.0,1317.75,78517.58,1022.25,78674.0,156.42,0.0,389842.79,-6221.03,1022.25,384644.02,-5198.78,-0.01,188460.68,-0.28,468360.38,463318.02,-5042.36,-0.01
155,10/24/2036,2340.0,1317.75,78674.0,1022.25,78830.42,156.42,0.0,384644.02,9784.68,1022.25,395450.95,10806.93,0.03,198245.36,-0.24,463318.02,474281.37,10963.35,0.02
156,11/23/2036,4590.0,1317.75,78830.42,3272.25,78986.83,156.42,0.0,395450.95,-3866.9,3272.25,394856.3,-594.65,-0.0,194378.46,-0.26,474281.37,473843.13,-438.23,-0.0
157,12/23/2036,2340.0,1317.75,78986.83,1022.25,79143.25,156.42,0.0,394856.3,-11864.84,1022.25,384013.71,-10842.59,-0.03,182513.62,-0.3,473843.13,463156.96,-10686.18,-0.02
158,01/22/2037,2340.0,1337.52,79143.25,1002.48,79299.67,156.42,0.0,384013.71,-13139.73,1002.48,371876.46,-12137.25,-0.03,169373.89,-0.35,463156.96,451176.13,-11980.83,-0.03
159,02/21/2037,2340.0,1337.52,79299.67,1002.48,79456.08,156.42,0.0,371876.46,-3433.28,1002.48,369445.66,-2430.8,-0.01,165940.61,-0.37,451176.13,448901.75,-2274.38,-0.01
160,03/23/2037,2340.0,1337.52,79456.08,1002.48,79612.5,156.42,0.0,369445.66,-350.74,1002.48,370097.41,651.74,0.0,165589.87,-0.37,448901.75,449709.91,808.16,0.0
161,04/22/2037,2340.0,1337.52,79612.5,1002.48,79768.92,156.42,0.0,370097.41,-7332.52,1002.48,363767.37,-6330.03,-0.02,158257.35,-0.4,449709.91,443536.29,-6173.62,-0.01
162,05/22/2037,2340.0,1337.52,79768.92,1002.48,79925.33,156.42,0.0,363767.37,-441.71,1002.48,364328.14,560.77,0.0,157815.64,-0.4,443536.29,444253.48,717.19,0.0
163,06/21/2037,2340.0,1337.52,79925.33,1002.48,80081.75,156.42,0.0,364328.14,-16121.53,1002.48,349209.1,-15119.05,-0.04,141694.11,-0.46,444253.48,429290.85,-14962.63,-0.03
